term,date,count
misinformation,1980-01,0
misinformation,1980-02,0
misinformation,1980-03,0
misinformation,1980-04,0
misinformation,1980-05,0
misinformation,1980-06,13
misinformation,1980-07,3
misinformation,1980-08,5
misinformation,1980-09,3
misinformation,1980-10,6
misinformation,1980-11,4
misinformation,1980-12,5
misinformation,1981-01,2
misinformation,1981-02,5
misinformation,1981-03,10
misinformation,1981-04,7
misinformation,1981-05,10
misinformation,1981-06,8
misinformation,1981-07,2
misinformation,1981-08,4
misinformation,1981-09,6
misinformation,1981-10,7
misinformation,1981-11,12
misinformation,1981-12,11
misinformation,1982-01,6
misinformation,1982-02,1
misinformation,1982-03,2
misinformation,1982-04,8
misinformation,1982-05,10
misinformation,1982-06,2
misinformation,1982-07,8
misinformation,1982-08,1
misinformation,1982-09,7
misinformation,1982-10,4
misinformation,1982-11,4
misinformation,1982-12,4
misinformation,1983-01,7
misinformation,1983-02,5
misinformation,1983-03,2
misinformation,1983-04,2
misinformation,1983-05,13
misinformation,1983-06,4
misinformation,1983-07,6
misinformation,1983-08,6
misinformation,1983-09,2
misinformation,1983-10,5
misinformation,1983-11,4
misinformation,1983-12,3
misinformation,1984-01,9
misinformation,1984-02,5
misinformation,1984-03,4
misinformation,1984-04,6
misinformation,1984-05,6
misinformation,1984-06,6
misinformation,1984-07,5
misinformation,1984-08,5
misinformation,1984-09,5
misinformation,1984-10,12
misinformation,1984-11,1
misinformation,1984-12,6
misinformation,1985-01,14
misinformation,1985-02,17
misinformation,1985-03,15
misinformation,1985-04,20
misinformation,1985-05,18
misinformation,1985-06,17
misinformation,1985-07,10
misinformation,1985-08,12
misinformation,1985-09,20
misinformation,1985-10,18
misinformation,1985-11,24
misinformation,1985-12,20
misinformation,1986-01,22
misinformation,1986-02,10
misinformation,1986-03,38
misinformation,1986-04,21
misinformation,1986-05,22
misinformation,1986-06,25
misinformation,1986-07,25
misinformation,1986-08,18
misinformation,1986-09,25
misinformation,1986-10,38
misinformation,1986-11,45
misinformation,1986-12,24
misinformation,1987-01,17
misinformation,1987-02,25
misinformation,1987-03,25
misinformation,1987-04,16
misinformation,1987-05,29
misinformation,1987-06,28
misinformation,1987-07,27
misinformation,1987-08,38
misinformation,1987-09,33
misinformation,1987-10,35
misinformation,1987-11,30
misinformation,1987-12,24
misinformation,1988-01,44
misinformation,1988-02,53
misinformation,1988-03,46
misinformation,1988-04,35
misinformation,1988-05,31
misinformation,1988-06,29
misinformation,1988-07,22
misinformation,1988-08,29
misinformation,1988-09,30
misinformation,1988-10,41
misinformation,1988-11,21
misinformation,1988-12,22
misinformation,1989-01,26
misinformation,1989-02,29
misinformation,1989-03,47
misinformation,1989-04,33
misinformation,1989-05,26
misinformation,1989-06,45
misinformation,1989-07,45
misinformation,1989-08,18
misinformation,1989-09,23
misinformation,1989-10,27
misinformation,1989-11,28
misinformation,1989-12,36
misinformation,1990-01,27
misinformation,1990-02,39
misinformation,1990-03,41
misinformation,1990-04,27
misinformation,1990-05,34
misinformation,1990-06,36
misinformation,1990-07,30
misinformation,1990-08,35
misinformation,1990-09,23
misinformation,1990-10,25
misinformation,1990-11,29
misinformation,1990-12,33
misinformation,1991-01,40
misinformation,1991-02,34
misinformation,1991-03,32
misinformation,1991-04,23
misinformation,1991-05,30
misinformation,1991-06,23
misinformation,1991-07,34
misinformation,1991-08,21
misinformation,1991-09,25
misinformation,1991-10,30
misinformation,1991-11,37
misinformation,1991-12,29
misinformation,1992-01,27
misinformation,1992-02,37
misinformation,1992-03,31
misinformation,1992-04,33
misinformation,1992-05,29
misinformation,1992-06,29
misinformation,1992-07,33
misinformation,1992-08,15
misinformation,1992-09,31
misinformation,1992-10,32
misinformation,1992-11,29
misinformation,1992-12,24
misinformation,1993-01,26
misinformation,1993-02,21
misinformation,1993-03,23
misinformation,1993-04,26
misinformation,1993-05,23
misinformation,1993-06,15
misinformation,1993-07,16
misinformation,1993-08,35
misinformation,1993-09,34
misinformation,1993-10,26
misinformation,1993-11,33
misinformation,1993-12,27
misinformation,1994-01,29
misinformation,1994-02,29
misinformation,1994-03,38
misinformation,1994-04,38
misinformation,1994-05,30
misinformation,1994-06,30
misinformation,1994-07,33
misinformation,1994-08,33
misinformation,1994-09,35
misinformation,1994-10,45
misinformation,1994-11,41
misinformation,1994-12,26
