Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,trump,4042,facebook,2540,russia,2514,news,2266,president,2128,clinton,2050,campaign,1954,america,1942,election,1734,story,1700,year,1694,group,1662,new,1622,media,1560,islamic state,1536,government,1524,spread,1494,use,1412,even,1356,political,1326,fake news,1302,site,1290,states,1212,us,1188,official,1126,china,1100,twitter,1064,post,1014,online,1014,world,1006
2017,trump,13620,russia,9312,news,6466,media,6126,president,5866,twitter,4392,campaign,4178,election,4146,facebook,4130,america,4034,fake news,3690,story,3610,new,3322,spread,3184,year,2990,use,2980,political,2826,government,2630,us,2588,information,2202,states,2180,company,2174,even,2168,last,2098,official,2036,post,2012,cnn,1912,world,1898,time,1848,group,1826
2018,trump,11906,russia,8590,facebook,7330,news,5808,president,5796,media,5286,campaign,5110,spread,5040,election,5012,twitter,4660,america,4208,company,3992,year,3744,use,3724,new,3694,political,3358,government,3150,social media,3044,fake news,2980,2016,2878,us,2634,effort,2558,even,2542,post,2488,last,2434,story,2414,official,2372,include,2290,online,2198,platform,2174
2019,trump,12172,russia,7430,president,6498,facebook,6134,campaign,5818,election,5424,spread,5314,company,4028,news,3966,political,3916,2016,3882,twitter,3860,ukraine,3778,america,3740,media,3530,new,3514,government,3462,year,3420,social media,3392,use,3128,china,2982,effort,2720,official,2656,us,2580,even,2558,group,2554,online,2448,include,2378,post,2366,public,2282
2020,trump,18940,election,11694,spread,9948,president,9544,facebook,9268,russia,8028,campaign,7988,twitter,7824,china,7534,covid19,7166,america,6564,company,6442,social media,5744,news,5728,new,5344,official,5122,political,5108,post,4936,government,4714,media,4712,information,4594,misinformation,4576,claim,4514,qanon,4376,group,4312,year,4234,online,4118,use,4042,effort,4038,disinformation,3984
2021,vaccine,12236,trump,9070,facebook,8772,spread,8108,election,7872,company,6210,social media,5084,republican,4744,america,4710,president,4692,misinformation,4510,year,4424,covid19,4304,group,4260,new,4220,post,4180,news,3990,campaign,3914,government,3772,platform,3736,twitter,3676,political,3660,include,3578,online,3554,official,3418,media,3294,public,3276,claim,3226,russia,3224,china,3168
2022,russia,17600,election,10318,ukraine,9600,spread,7904,twitter,5856,trump,5782,company,5202,war,5064,new,5016,president,4922,america,4722,year,4680,media,4516,social media,4474,official,4418,state,4370,campaign,4270,misinformation,4270,government,4228,republican,4114,news,4076,use,4046,platform,4012,disinformation,3980,china,3890,vaccine,3826,political,3790,post,3540,online,3528,group,3488
2023,russia,6654,spread,4934,election,4166,government,3596,company,3556,trump,3542,social media,3286,year,3236,china,3230,new,3146,use,3130,news,3122,campaign,2928,president,2796,ukraine,2536,america,2520,include,2482,war,2438,political,2404,media,2364,official,2340,group,2286,twitter,2272,public,2238,claim,2218,online,2218,disinformation,2142,misinformation,2102,us,2096,post,2092
2024,trump,7454,russia,7106,election,7090,spread,5462,campaign,3900,social media,3810,america,3768,president,3642,year,3620,government,3504,official,3254,post,3212,political,3146,use,2982,news,2894,online,2790,company,2750,new,2750,claim,2632,include,2604,china,2602,us,2594,media,2544,disinformation,2446,effort,2436,ukraine,2384,group,2306,public,2286,republican,2202,information,2158
2025,trump,3316,russia,1586,america,1438,spread,1386,government,1266,china,1120,social media,1086,president,1054,us,950,year,880,official,828,election,822,company,820,post,764,news,760,ukraine,758,vaccine,748,use,746,state,700,political,686,new,676,public,664,administration,640,effort,636,war,608,campaign,606,include,606,media,598,group,594,claim,590
