Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,trump,1096,clinton,643,president,396,america,306,campaign,299,obama,234,republican,227,year,226,political,196,believe,192,even,192,new,190,election,174,news,164,story,158,twitter,152,time,138,conspiracy theory,138,government,137,media,128,world,126,washington,119,national,118,states,116,make,115,spread,113,mrs,112,claim,112,first,109,may,108
2017,trump,826,president,422,news,320,russia,276,america,227,media,213,new,205,twitter,199,year,196,political,194,clinton,193,election,177,story,175,even,174,claim,164,obama,162,government,158,national,153,campaign,149,rich,142,fox,141,states,134,death,129,time,127,united,126,fake news,126,last,123,conspiracy theory,121,may,119,former,118
2018,trump,1296,president,507,twitter,397,news,373,political,332,russia,298,america,273,year,270,republican,270,soros,255,campaign,251,spread,249,post,243,even,228,conspiracy theory,228,last,228,media,226,new,226,facebook,209,claim,200,jones,193,government,188,right-wing,187,false,185,include,181,state,175,obama,174,clinton,166,election,164,infowars,163
2019,trump,2586,ukraine,1377,president,1307,2016,845,russia,798,election,719,former,437,biden,422,democratic,419,political,419,republican,405,campaign,401,news,397,conspiracy theory,395,america,385,twitter,378,debunked,376,investigation,364,spread,350,even,341,democrats,340,year,330,national,329,claim,303,new,302,giuliani,288,government,286,official,284,committee,277,us,272
2020,trump,3693,qanon,1883,president,1565,election,1219,republican,947,spread,824,twitter,814,america,772,covid19,771,claim,752,news,660,political,648,facebook,627,campaign,622,group,601,new,558,post,549,conspiracy theory,544,social media,533,official,512,year,505,online,494,even,494,biden,493,false,487,include,485,pandemic,478,government,477,state,475,baseless,474
2021,trump,2250,election,1693,qanon,1270,republican,1232,vaccine,954,president,947,spread,690,america,670,claim,617,party,589,year,580,capitol,536,greene,532,new,530,group,529,political,523,include,517,false,503,news,502,post,492,government,480,state,436,even,436,former,435,social media,431,last,421,facebook,417,online,397,fraud,395,2020,395
2022,election,2082,trump,1562,republican,1136,2020,814,qanon,745,president,712,america,617,spread,614,claim,561,state,551,year,516,new,489,political,466,voting,458,former,447,official,442,group,432,twitter,432,include,394,russia,390,post,383,fraud,378,online,376,media,358,right-wing,352,false,351,government,347,attack,341,news,341,states,340
2023,trump,948,election,809,president,490,fox,480,republican,478,claim,384,2020,368,news,365,year,362,new,326,spread,323,former,304,america,303,include,273,dominion,262,political,261,post,258,government,251,company,248,even,246,jan 6,239,twitter,234,voting,228,attack,227,antisemitic,221,false,214,carlson,213,right-wing,213,capitol,207,musk,207
2024,trump,1537,election,981,president,579,year,452,republican,451,spread,438,america,426,claim,423,post,412,political,375,former,354,biden,333,new,325,social media,317,2020,313,false,311,include,290,kennedy,288,even,284,news,277,conspiracy theory,262,online,262,time,256,government,248,campaign,247,right-wing,244,last,244,official,244,public,228,state,218
2025,trump,348,kennedy,130,president,129,government,100,election,95,year,84,america,83,new,77,even,76,vaccine,74,post,70,spread,70,use,69,musk,67,social media,64,claim,63,right-wing,63,public,63,political,61,news,60,time,59,state,57,health,57,2020,56,republican,56,official,55,white,51,online,50,group,49,long,48
