Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,russia,207,campaign,112,europe,67,media,64,trump,41,use,40,public,40,year,40,president,39,political,37,government,36,spread,35,election,35,states,35,propaganda,34,news,32,us,32,intelligence,30,foreign,30,new,30,information,29,putin,29,even,28,war,28,united,27,military,27,back,24,story,24,disinformation,23,nato,23
2017,russia,897,campaign,502,trump,261,spread,243,election,228,facebook,190,president,186,us,182,propaganda,159,america,153,intelligence,152,use,147,company,146,twitter,130,news,126,political,123,media,115,information,112,government,111,social media,109,states,108,official,106,effort,105,fake news,105,putin,104,2016,103,account,100,disinformation,98,new,96,foreign,83
2018,russia,1558,campaign,1053,facebook,983,election,836,spread,596,company,590,effort,450,social media,438,2016,428,twitter,399,america,390,trump,383,account,372,us,354,new,354,use,332,president,328,platform,291,year,275,online,268,official,259,states,258,political,249,foreign,248,disinformation,243,news,238,government,234,united,226,information,218,post,210
2019,russia,1669,campaign,1554,election,1117,facebook,1110,spread,808,company,793,social media,655,trump,642,disinformation,616,2016,604,president,583,political,581,effort,569,twitter,503,use,493,america,473,new,428,government,425,us,423,account,413,online,387,year,368,platform,363,official,333,china,321,include,316,information,313,foreign,313,news,295,group,292
2020,russia,2264,election,1990,campaign,1899,trump,1585,spread,1289,facebook,1153,president,986,disinformation,926,china,914,official,873,america,865,company,862,social media,828,effort,780,twitter,771,intelligence,680,us,647,information,639,new,612,use,585,2016,577,political,570,government,548,covid19,544,year,541,biden,537,online,533,foreign,530,group,498,platform,490
2021,spread,977,election,912,russia,889,vaccine,886,campaign,848,facebook,779,trump,722,company,692,social media,602,disinformation,496,america,485,group,475,online,463,effort,461,president,438,official,418,year,407,misinformation,405,news,382,media,381,twitter,371,platform,362,public,360,government,356,new,353,political,340,include,333,republican,326,biden,322,us,321
2022,russia,2560,ukraine,1406,election,1080,campaign,988,spread,951,disinformation,804,official,634,misinformation,619,company,607,social media,580,president,578,twitter,578,government,563,new,557,america,545,us,545,war,544,online,542,information,533,security,513,effort,488,political,464,use,460,platform,459,media,447,public,439,year,434,board,427,china,404,include,400
2023,russia,1069,spread,733,campaign,718,election,547,government,541,social media,532,company,532,china,473,use,469,disinformation,413,new,402,official,390,online,378,year,362,ukraine,355,misinformation,341,us,336,include,332,effort,327,group,326,platform,320,information,318,public,316,news,308,political,302,content,300,artificial intelligence,290,media,285,president,285,twitter,284
2024,russia,1378,election,1192,campaign,882,spread,841,trump,638,official,628,america,564,us,537,social media,533,government,502,online,499,effort,491,president,467,year,458,disinformation,458,company,449,china,402,use,392,new,363,include,353,group,349,ukraine,343,misinformation,337,political,329,foreign,324,information,321,content,317,platform,317,post,312,media,307
2025,trump,400,russia,324,spread,184,america,184,us,167,government,165,ukraine,153,election,142,company,140,campaign,137,social media,135,china,131,zelensky,128,president,127,official,121,year,95,state,89,effort,89,foreign,86,misinformation,85,security,84,political,80,propaganda,77,speech,76,law,76,online,75,europe,75,administration,74,war,73,include,71
