Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,facebook,887,news,532,story,499,election,414,fake news,412,site,407,trump,393,president,254,spread,252,real,203,media,202,new,185,clinton,180,company,178,false,176,social media,173,post,167,twitter,164,zuckerberg,161,problem,161,fake,157,user,155,campaign,153,america,149,google,143,websites,143,russia,138,content,131,online,128,network,125
2017,trump,4722,media,2148,news,1936,president,1665,russia,1493,twitter,1331,story,1301,fake news,1262,election,1044,facebook,905,cnn,894,america,764,new,749,campaign,718,political,575,use,533,post,514,even,506,called,497,fake,494,spread,484,real,480,last,480,times,479,year,478,reports,466,dont,463,first,454,information,441,press,436
2018,trump,3344,media,1624,news,1445,president,1358,fake news,1052,twitter,978,facebook,828,story,752,russia,700,election,639,new,608,year,601,use,591,cnn,562,america,528,spread,502,journalist,488,political,456,press,447,government,445,even,430,campaign,421,times,418,post,406,called,406,say,376,enemy,368,last,365,time,361,fake,354
2019,trump,1843,media,796,president,702,news,604,twitter,528,fake news,374,facebook,318,new,316,story,297,election,274,times,269,america,257,spread,256,post,249,year,239,political,237,russia,233,government,230,use,230,even,219,dont,206,journalist,204,called,202,cnn,194,social media,191,report,182,world,179,campaign,178,democrats,177,information,177
2020,trump,1332,media,621,president,564,twitter,419,news,408,covid19,379,election,247,america,242,new,215,fake news,212,story,208,dont,191,campaign,189,spread,184,china,182,virus,179,even,176,use,166,russia,165,time,163,say,156,july,153,information,152,cnn,152,way,151,report,150,times,149,amp,149,never,148,called,148
2021,trump,360,media,224,news,137,new,133,president,128,government,102,year,93,post,90,election,89,vaccine,88,spread,87,called,85,social media,84,use,77,covid19,77,political,76,times,76,america,76,first,75,fake news,75,story,72,dont,70,statement,67,facebook,67,even,64,journalist,62,twitter,60,republican,59,law,58,outlet,58
2022,russia,348,trump,244,media,204,news,172,president,147,year,136,law,135,spread,133,ukraine,126,war,113,new,109,twitter,105,election,92,fake news,85,information,81,post,81,government,81,misinformation,77,america,74,time,73,journalist,73,military,73,social media,72,campaign,71,called,69,invasion,65,disinformation,64,prison,64,even,63,story,62
2023,trump,196,news,118,media,114,president,99,post,94,spread,93,year,72,social media,70,government,68,new,68,russia,63,called,62,fake news,60,political,57,information,53,use,53,include,52,disinformation,50,reports,50,story,48,journalist,45,election,45,cnn,45,biden,44,china,44,campaign,43,yoon,42,reporters,41,time,40,content,40
2024,trump,473,news,208,media,203,russia,157,post,131,president,110,america,106,year,106,spread,103,site,93,story,92,campaign,92,dont,92,political,88,use,87,new,83,election,83,government,82,disinformation,82,social media,77,include,70,called,66,journalist,62,first,61,fake news,60,say,60,claim,59,outlet,58,truth,56,country,56
2025,trump,225,media,72,news,61,president,61,social media,42,called,39,america,38,white house,37,hegseth,35,post,35,election,34,journalist,33,administration,31,government,30,social,30,speech,29,tariffs,29,official,29,first,28,right,27,china,27,spread,26,even,26,outlet,26,russia,25,press,25,political,25,year,24,calling,24,wrote,23
