Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,facebook,172,spread,147,campaign,112,election,97,even,94,trump,91,president,90,fake news,86,social media,84,company,83,false,83,public,82,news,80,site,78,information,77,new,73,year,69,media,68,lot,66,group,60,internet,59,political,59,online,57,use,57,much,55,story,53,america,53,clinton,52,theres,51,often,49
2017,facebook,485,spread,421,news,297,company,247,election,244,russia,229,campaign,192,twitter,189,trump,182,president,179,information,178,fake news,155,america,129,social media,128,political,126,platform,125,account,120,post,117,use,116,online,114,new,114,year,114,site,113,google,106,public,104,propaganda,102,media,101,internet,99,government,98,story,98
2018,facebook,1095,spread,742,company,591,election,487,news,354,russia,343,platform,341,campaign,336,social media,327,twitter,274,2016,254,user,253,online,251,year,249,new,247,political,241,use,235,president,225,information,212,include,203,trump,197,content,191,account,186,effort,185,us,175,last,170,data,170,group,169,post,166,false,161
2019,facebook,1194,spread,905,vaccine,689,company,661,platform,454,social media,411,campaign,408,election,367,political,366,trump,356,content,331,new,318,year,318,public,313,information,303,group,302,president,297,health,287,online,285,twitter,278,news,271,effort,263,misinformation,261,user,250,include,247,youtube,245,use,237,post,236,ads,235,government,232
2020,facebook,2538,spread,2276,election,2083,trump,1993,company,1713,twitter,1604,covid19,1522,misinformation,1239,social media,1171,president,1166,post,1157,information,967,health,922,new,886,platform,885,campaign,844,news,791,online,775,vaccine,766,political,759,claim,756,virus,753,public,746,pandemic,741,false,712,group,704,include,666,content,657,america,622,official,575
2021,vaccine,3979,facebook,2949,spread,2054,company,1911,misinformation,1369,covid19,1332,social media,1231,platform,1180,election,1091,post,1044,health,1029,covid-19,924,trump,888,information,844,twitter,841,content,806,new,786,group,778,year,771,online,753,public,729,include,725,news,697,pandemic,659,america,648,political,623,president,603,user,592,get,581,republican,580
2022,spread,1801,election,1726,twitter,1523,company,1423,vaccine,1264,platform,1097,social media,965,misinformation,947,covid19,928,new,846,content,785,year,744,covid-19,708,facebook,706,health,702,post,684,public,661,information,645,online,629,disinformation,608,group,584,russia,581,speech,555,president,547,include,540,political,532,america,529,claim,522,trump,521,last,520
2023,spread,986,company,748,social media,621,election,568,new,459,news,444,platform,441,twitter,426,content,422,misinformation,406,year,403,include,381,online,370,vaccine,363,government,356,public,355,covid19,353,ai,350,use,348,speech,344,disinformation,330,information,325,political,317,claim,317,trump,303,post,302,artificial intelligence,297,campaign,273,group,271,president,262
2024,election,1025,spread,1001,trump,761,social media,755,company,576,post,535,political,465,online,447,year,443,platform,423,vaccine,420,government,411,claim,404,president,401,campaign,380,official,377,use,377,news,376,health,376,public,371,misinformation,366,america,350,information,339,disinformation,338,new,337,include,335,effort,323,content,323,biden,299,false,291
2025,trump,333,spread,289,vaccine,238,social media,225,health,167,company,163,post,154,america,140,government,139,public,137,information,127,speech,123,year,114,election,112,content,112,effort,107,official,106,new,103,online,100,news,97,musk,97,kennedy,92,political,92,platform,92,disinformation,91,administration,90,use,83,biden,82,claim,81,include,81
