Year,Word 1,Count 1,Word 2,Count 2,Word 3,Count 3,Word 4,Count 4,Word 5,Count 5,Word 6,Count 6,Word 7,Count 7,Word 8,Count 8,Word 9,Count 9,Word 10,Count 10,Word 11,Count 11,Word 12,Count 12,Word 13,Count 13,Word 14,Count 14,Word 15,Count 15,Word 16,Count 16,Word 17,Count 17,Word 18,Count 18,Word 19,Count 19,Word 20,Count 20,Word 21,Count 21,Word 22,Count 22,Word 23,Count 23,Word 24,Count 24,Word 25,Count 25,Word 26,Count 26,Word 27,Count 27,Word 28,Count 28,Word 29,Count 29,Word 30,Count 30
2016,russia,803,islamic state,743,group,619,government,505,china,477,america,442,year,403,use,402,trump,400,official,396,us,384,states,360,war,341,new,333,terrorist,328,news,325,media,318,campaign,301,president,285,state,283,north korea,267,political,265,world,255,even,252,include,246,party,234,online,227,last,222,effort,220,islamic,214
2017,russia,1761,trump,819,america,744,government,656,year,638,use,601,us,600,news,554,north korea,540,group,534,war,534,campaign,528,states,513,new,497,media,486,president,481,islamic state,461,official,454,facebook,423,political,395,world,386,united,384,election,380,china,369,effort,351,twitter,347,state,344,intelligence,335,spread,332,terrorist,331
2018,russia,1396,america,754,trump,733,china,678,north korea,675,government,558,facebook,550,use,543,media,504,news,494,campaign,494,president,480,year,477,us,454,war,448,spread,431,official,417,new,412,states,411,effort,406,political,401,election,380,world,377,state,369,group,348,united,347,kim,343,company,330,include,309,even,300
2019,china,1011,russia,814,trump,659,government,558,america,553,year,455,media,417,news,416,group,414,official,412,use,393,new,393,war,368,campaign,368,president,360,political,355,us,349,spread,338,state,331,states,314,propaganda,294,even,293,effort,275,social media,267,public,264,facebook,261,united,261,world,258,islamic state,255,hong,251
2020,china,1904,trump,867,russia,825,government,806,america,781,news,533,us,504,official,503,president,491,state,470,political,443,campaign,440,use,436,media,434,spread,401,new,401,war,377,states,374,covid19,367,year,365,united,350,world,349,effort,348,foreign,341,propaganda,320,election,308,party,308,public,306,twitter,304,even,270
2021,china,970,america,476,government,472,russia,454,year,361,use,356,trump,315,new,308,group,301,us,289,official,286,news,277,political,268,media,260,campaign,249,spread,246,world,231,president,230,war,228,state,227,party,212,taliban,212,vaccine,211,even,210,public,201,effort,200,last,197,states,196,social media,194,communist,184
2022,russia,4921,ukraine,2519,war,1426,china,1201,putin,999,government,810,state,795,media,748,use,698,news,668,official,632,america,596,propaganda,540,year,510,new,507,president,477,spread,453,us,450,even,418,campaign,413,invasion,411,world,409,russians,408,military,393,political,392,social media,355,effort,355,information,342,include,341,group,336
2023,russia,1889,china,821,ukraine,755,war,708,government,582,use,513,america,457,year,419,putin,372,us,367,state,344,group,339,spread,332,media,327,news,326,official,322,new,318,military,283,campaign,280,israel,272,states,268,world,266,political,265,president,262,public,260,tiktok,258,united,248,even,244,social media,223,propaganda,223
2024,russia,1687,china,699,ukraine,630,war,517,government,509,america,438,use,417,us,380,year,351,campaign,349,spread,348,media,346,state,336,israel,333,official,330,trump,318,political,316,group,313,news,306,new,267,election,264,president,264,include,254,putin,252,states,242,united,224,social media,223,information,217,post,216,even,215
2025,russia,379,trump,352,china,333,america,274,government,199,ukraine,192,us,191,war,180,use,141,president,132,spread,124,year,123,state,116,hamas,109,official,103,group,103,states,101,media,100,new,97,united,94,news,92,administration,91,foreign,90,include,89,effort,87,political,85,israel,83,last,81,disinformation,79,social media,77
